bytes_08_0B	be32	byte_0C	byte_0D	byte_0E	byte_0F	file_size	path
59 87 06 69	0x59870669	1	1	1	1	15088	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x8cc86565\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x8ceda887\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x929c7411\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x93a4ff22\12\0.uifont
5f 8e 00 db	0x5F8E00DB	1	1	1	2	26080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x95fef0be\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x97c5a5ff\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	18376	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x9b547725\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x9b71bac7\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	17920	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xa088f9de\12\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	26128	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xa195bf0f\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xa3aeea4e\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xa7a32685\12\0.uifont
5f 8e 01 44	0x5F8E0144	1	1	1	3	10336	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xaa54d953\0\1\0.uifont
59 87 06 69	0x59870669	1	1	1	1	12928	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xac3ce6e6\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26128	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0xad21a037\12\0.uifont
